number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
0,0.5278034091023278,2023-08-31 10:09:02.482882,2023-08-31 10:17:14.831185,0 days 00:08:12.348303,0.4295550635114439,0.7308154372519722,0.8541460841893669,0.0075385521495993715,0.1881892910909061,0.802094635467456,0.37369860835609936,2.5065621583959863,0.22583756301058375,0.12000000000000001,0.10832861211288324,COMPLETE
1,0.7268305938713711,2023-08-31 10:17:14.855870,2023-08-31 10:24:40.498240,0 days 00:07:25.642370,0.44706828224030626,1.881561387012824,0.7971705297929149,0.0037741202184671595,0.07526181524712565,0.794833788983206,0.1568979547652143,0.8017451228234289,0.12841586365056332,0.2,0.13615041005917133,COMPLETE
2,0.6024005342906765,2023-08-31 10:24:40.521313,2023-08-31 10:32:36.329548,0 days 00:07:55.808235,0.5631352348743721,0.6180165199353497,0.8273682316154671,0.005826305570355705,0.11194718370484753,0.8223276767457417,0.024628970197843922,1.040117219032854,0.17042496094154727,0.18,0.15310533336700713,COMPLETE
3,0.68044970691729,2023-08-31 10:32:36.344202,2023-08-31 10:39:53.229821,0 days 00:07:16.885619,0.7002381909746708,1.4447614452180724,0.8326677577735737,0.0040359979184598025,0.07776209290995534,0.7331849452587617,0.30506542843535656,1.152280389319162,0.11579206150339148,0.14,0.12754587425120517,COMPLETE
4,0.5413871530332085,2023-08-31 10:39:53.249734,2023-08-31 10:48:07.679464,0 days 00:08:14.429730,0.4611520982884413,1.6867862625201562,0.9930733630342645,0.007524913509460464,0.13993243107512843,0.7834058057376485,0.33026469625479865,2.3363750129494387,0.23102642289726547,0.11,0.1112917591045805,COMPLETE
5,1.153919444650623,2023-08-31 10:48:07.710037,2023-08-31 10:52:35.447321,0 days 00:04:27.737284,0.5984905920406179,0.9760205094429213,0.9052871378558507,0.006889337582942416,0.0843923103977213,0.7799813897111961,0.3023252671275177,1.3860941333125556,0.21596094036194213,0.16,0.1904446103208809,PRUNED
6,1.2232494760066905,2023-08-31 10:52:35.478991,2023-08-31 10:55:53.489160,0 days 00:03:18.010169,0.4824562944946964,1.5953302878656825,0.8623613078694321,0.006076021492029128,0.06823420695879512,0.7990327660334372,0.37075259774013314,2.5069717099987456,0.24960824543696067,0.18,0.14675600343621742,PRUNED
7,1.446389525071949,2023-08-31 10:55:53.517277,2023-08-31 10:57:33.461914,0 days 00:01:39.944637,0.8504905914232477,0.6613494190794051,0.873360255787279,0.003903701884514066,0.11805240181411936,0.7826366066767836,0.08812033859937819,0.7189309142545267,0.23049434506022048,0.15000000000000002,0.16037841889938395,PRUNED
8,1.503096727191979,2023-08-31 10:57:33.482098,2023-08-31 10:59:12.531141,0 days 00:01:39.049043,0.8365988678081395,0.5455537512730955,0.876199723494671,0.0036106326953540195,0.06026690625875042,0.7171876136575118,0.45278195631655094,0.9612244515482854,0.1829006867345489,0.19,0.18430650945366114,PRUNED
9,0.5403833161615043,2023-08-31 10:59:12.548646,2023-08-31 11:06:39.113712,0 days 00:07:26.565066,0.47719322845292633,1.5698835012753574,0.8450532350225217,0.00771981182950156,0.15510328537237578,0.7922637377486477,0.22241332691538948,2.2869877318458056,0.16682694853391478,0.12000000000000001,0.1533725388953282,COMPLETE
10,0.49520146490835715,2023-08-31 11:06:39.134480,2023-08-31 11:14:43.251832,0 days 00:08:04.117352,0.210482719051171,1.0870818377653617,0.7522299237108165,0.009487074405135569,0.18835594891708013,0.8494733095746829,0.44831295326887866,3.1261654310872484,0.2930566811315549,0.1,0.10075702421365916,COMPLETE
11,0.5064408608476458,2023-08-31 11:14:43.272459,2023-08-31 11:22:57.132901,0 days 00:08:13.860442,0.22067820764785367,1.0818872115476745,0.7516840373143197,0.009964940242437393,0.19830958181172773,0.8423088764894914,0.48240355801041745,3.1247464767214685,0.293112753075107,0.11,0.10196388054520147,COMPLETE
12,0.5007588839735161,2023-08-31 11:22:57.154683,2023-08-31 11:30:12.046106,0 days 00:07:14.891423,0.1768849987062649,1.1377971959136097,0.751586112459153,0.009922358496098372,0.19310971130002202,0.8484733022587676,0.49736332273070505,2.9415632051852265,0.2996742596484558,0.1,0.1018607849229847,COMPLETE
13,1.0515189695020093,2023-08-31 11:30:12.062971,2023-08-31 11:35:58.608288,0 days 00:05:46.545317,0.11597929817987337,1.189781872142993,0.7594710281169692,0.00977340928698049,0.1754642506539426,0.8486262114359355,0.49954229161808134,3.0624187780801906,0.299722639895946,0.1,0.10044945137025899,PRUNED
14,1.6921601481471502,2023-08-31 11:35:58.631133,2023-08-31 11:37:40.833101,0 days 00:01:42.201968,0.25747144828239926,1.266024204874171,0.7829284329306262,0.0011677339187537456,0.17138765309376988,0.8289422933488994,0.43007196438280837,0.1434751389707296,0.27099383168073177,0.13,0.11874028115962082,PRUNED
15,0.48796002307804076,2023-08-31 11:37:40.849082,2023-08-31 11:45:54.425252,0 days 00:08:13.576170,0.29228487464161473,0.9316366358912762,0.8022803604538242,0.009004937293093962,0.1983957753544548,0.8493632305349609,0.4140808178573435,1.8578960148285668,0.2686346235927187,0.1,0.11729727920945036,COMPLETE
16,1.1197653366318832,2023-08-31 11:45:54.452276,2023-08-31 11:50:21.464513,0 days 00:04:27.012237,0.3257187583252574,0.9009946595600964,0.802319137773928,0.008645084677868335,0.16524071836777046,0.8215939790059335,0.40507993172949763,1.7586157862417229,0.264981941069426,0.1,0.12006031654184424,PRUNED
17,1.1539497409306518,2023-08-31 11:50:21.479413,2023-08-31 11:53:38.801201,0 days 00:03:17.321788,0.10555863645728876,0.8977021064829154,0.7871124858064068,0.008563458248030174,0.1509332985816286,0.7553971549693038,0.42311506509031754,1.9175504190339097,0.2718977229808719,0.13,0.11754965441328472,PRUNED
18,1.1061706792378256,2023-08-31 11:53:38.817686,2023-08-31 11:58:35.300504,0 days 00:04:56.482818,0.33743121924693104,0.8138209677880405,0.7773526325627929,0.008418598151560827,0.18264286767398402,0.8161448894114568,0.3827986585487993,2.076670814557407,0.2534712218507618,0.16,0.13018838647470107,PRUNED
